"867" "hsa-miR-522-5p" "FUCA2" "ENSG00000001036"
"908" "hsa-miR-522-5p" "GCLC" "ENSG00000001084"
"968" "hsa-miR-522-5p" "NIPAL3" "ENSG00000001461"
"1022" "hsa-miR-522-5p" "ENPP4" "ENSG00000001561"
"1153" "hsa-miR-25-3p" "ANKIB1" "ENSG00000001629"
"1420" "hsa-miR-133a-3p" "LASP1" "ENSG00000002834"
"1423" "hsa-miR-1-3p" "LASP1" "ENSG00000002834"
"1495" "hsa-miR-522-5p" "LASP1" "ENSG00000002834"
"1542" "hsa-miR-522-5p" "SNX11" "ENSG00000002919"
"1566" "hsa-miR-204-5p" "M6PR" "ENSG00000003056"
"1587" "hsa-miR-522-5p" "M6PR" "ENSG00000003056"
"1674" "hsa-miR-522-5p" "CASP10" "ENSG00000003400"
"1760" "hsa-miR-522-5p" "TFPI" "ENSG00000003436"
"2069" "hsa-miR-522-5p" "AK2" "ENSG00000004455"
"2078" "hsa-miR-140-3p" "CD38" "ENSG00000004468"
"2127" "hsa-miR-877-3p" "FKBP4" "ENSG00000004478"
"2128" "hsa-miR-99b-3p" "FKBP4" "ENSG00000004478"
"2224" "hsa-miR-92a-3p" "RECQL" "ENSG00000004700"
"2281" "hsa-miR-522-5p" "SLC22A16" "ENSG00000004809"
"2291" "hsa-let-7b-5p" "SLC25A13" "ENSG00000004864"
"2362" "hsa-miR-522-5p" "LRP12" "ENSG00000004866"
"2474" "hsa-miR-522-5p" "CDC27" "ENSG00000004897"
"2551" "hsa-miR-522-5p" "HCCS" "ENSG00000004961"
"2574" "hsa-miR-522-5p" "DVL2" "ENSG00000004975"
"2615" "hsa-miR-522-5p" "UPF1" "ENSG00000005007"
"2665" "hsa-miR-522-5p" "SLC25A5" "ENSG00000005022"
"2686" "hsa-miR-769-3p" "HOXA11" "ENSG00000005073"
"2770" "hsa-miR-522-5p" "DHX33" "ENSG00000005100"
"2853" "hsa-miR-155-5p" "CIAPIN1" "ENSG00000005194"
"2860" "hsa-miR-522-5p" "CIAPIN1" "ENSG00000005194"
"2925" "hsa-miR-16-5p" "MSL3" "ENSG00000005302"
"2960" "hsa-miR-1301-3p" "CREBBP" "ENSG00000005339"
"3017" "hsa-miR-616-3p" "PON1" "ENSG00000005421"
"3025" "hsa-miR-522-5p" "GCFC2" "ENSG00000005436"
"3417" "hsa-miR-522-5p" "MYCBP2" "ENSG00000005810"
"3510" "hsa-miR-25-3p" "PDK2" "ENSG00000005882"
"3532" "hsa-miR-522-5p" "ITGA3" "ENSG00000005884"
"3571" "hsa-miR-522-5p" "ZFX" "ENSG00000005889"
"3654" "hsa-miR-522-5p" "LAMP2" "ENSG00000005893"
"3723" "hsa-miR-522-5p" "CRLF1" "ENSG00000006016"
"3758" "hsa-miR-155-5p" "MAP3K14" "ENSG00000006062"
"3775" "hsa-miR-31-5p" "MAP3K14" "ENSG00000006062"
"3893" "hsa-miR-522-5p" "AP2B1" "ENSG00000006125"
"3910" "hsa-miR-130a-3p" "TAC1" "ENSG00000006128"
"3911" "hsa-miR-206" "TAC1" "ENSG00000006128"
"3924" "hsa-miR-522-5p" "CX3CL1" "ENSG00000006210"
"4070" "hsa-miR-24-3p" "MAP3K9" "ENSG00000006432"
"4094" "hsa-miR-522-5p" "MAP3K9" "ENSG00000006432"
"4228" "hsa-let-7a-5p" "TTC22" "ENSG00000006555"
"4229" "hsa-miR-21-5p" "TTC22" "ENSG00000006555"
"4489" "hsa-miR-522-5p" "IFRD1" "ENSG00000006652"
"4499" "hsa-miR-21-5p" "LGALS14" "ENSG00000006659"
"4569" "hsa-miR-522-5p" "VPS41" "ENSG00000006715"
"4708" "hsa-miR-522-5p" "ADIPOR2" "ENSG00000006831"
"4731" "hsa-miR-522-5p" "CDKL3" "ENSG00000006837"
"4745" "hsa-miR-522-5p" "MARK4" "ENSG00000007047"
"4913" "hsa-miR-522-5p" "PAFAH1B1" "ENSG00000007168"
"5099" "hsa-miR-223-3p" "PAX6" "ENSG00000007372"
"5120" "hsa-miR-522-5p" "RPUSD1" "ENSG00000007376"
"5384" "hsa-miR-522-5p" "MYLIP" "ENSG00000007944"
"5496" "hsa-miR-125b-5p" "PSMB1" "ENSG00000008018"
"5556" "hsa-miR-522-5p" "PSMB1" "ENSG00000008018"
"5621" "hsa-miR-155-5p" "JARID2" "ENSG00000008083"
"5813" "hsa-miR-21-5p" "ADAM22" "ENSG00000008277"
"5928" "hsa-miR-522-5p" "SYPL1" "ENSG00000008282"
"6029" "hsa-miR-522-5p" "SPAG9" "ENSG00000008294"
"6190" "hsa-miR-522-5p" "NFIX" "ENSG00000008441"
"6207" "hsa-miR-204-5p" "ST3GAL1" "ENSG00000008513"
"6220" "hsa-miR-522-5p" "ST3GAL1" "ENSG00000008513"
"6629" "hsa-miR-23a-3p" "CSDE1" "ENSG00000009307"
"6761" "hsa-miR-522-5p" "CSDE1" "ENSG00000009307"
"6834" "hsa-let-7g-5p" "UBE3C" "ENSG00000009335"
"7602" "hsa-let-7b-5p" "BAZ1B" "ENSG00000009954"
"7627" "hsa-miR-16-5p" "BAZ1B" "ENSG00000009954"
"7700" "hsa-miR-522-5p" "BAZ1B" "ENSG00000009954"
"7890" "hsa-miR-30e-5p" "ZNF207" "ENSG00000010244"
"7936" "hsa-miR-183-5p" "UQCRC1" "ENSG00000010256"
"8041" "hsa-miR-222-3p" "NCAPD2" "ENSG00000010292"
"8070" "hsa-miR-522-5p" "NCAPD2" "ENSG00000010292"
"8312" "hsa-miR-522-5p" "SCMH1" "ENSG00000010803"
"8381" "hsa-miR-10b-5p" "HIVEP2" "ENSG00000010818"
"8389" "hsa-miR-155-5p" "HIVEP2" "ENSG00000010818"
"8555" "hsa-miR-522-5p" "LYPLA2" "ENSG00000011009"
"8587" "hsa-miR-125b-5p" "NME2" "ENSG00000011052"
"8739" "hsa-miR-522-5p" "BTBD7" "ENSG00000011114"
"8766" "hsa-miR-92a-3p" "BTBD7" "ENSG00000011114"
"8775" "hsa-miR-615-3p" "APBA3" "ENSG00000011132"
"8882" "hsa-miR-522-5p" "MBTD1" "ENSG00000011258"
"8922" "hsa-miR-522-5p" "RNF216" "ENSG00000011275"
"9018" "hsa-miR-522-5p" "PTBP1" "ENSG00000011304"
"9116" "hsa-miR-522-5p" "PIK3C2A" "ENSG00000011405"
